Date,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,KOTAKBANK.NS,MARUTI.NS,ONGC.NS,RELIANCE.NS,TCS.NS,WIPRO.NS
2022-06-27,652.583740234375,2181.828125,695.843505859375,1337.7760009765625,337.0697937011719,8149.22900390625,110.22534942626953,1128.9658203125,2925.490234375,198.23866271972656
2022-06-28,647.6036987304688,2179.007568359375,689.0048828125,1342.8109130859375,332.5364990234375,8188.72802734375,116.34033966064453,1144.840576171875,2928.53466796875,199.33506774902344
2022-06-29,646.6653442382812,2099.84423828125,681.6812133789062,1327.479248046875,327.2857971191406,8207.2470703125,120.07942199707031,1168.5960693359375,2904.131103515625,196.30245971679688
2022-06-30,648.6141357421875,2097.165283203125,685.997802734375,1326.254638671875,331.0021057128906,8170.44921875,118.0540771484375,1175.616455078125,2883.479736328125,194.10968017578125
2022-07-01,651.380859375,2145.819580078125,682.7967529296875,1342.1307373046875,332.3272399902344,8104.71484375,102.08504486083984,1090.943359375,2925.843017578125,196.8856658935547
2022-07-04,652.2950439453125,2233.114990234375,698.5110473632812,1349.9327392578125,332.9549255371094,8144.02001953125,98.15119171142578,1093.2078857421875,2855.192626953125,196.092529296875
2022-07-05,650.8275146484375,2257.841552734375,697.8805541992188,1339.000732421875,331.39068603515625,8052.7255859375,99.24176025390625,1102.0625,2838.64404296875,192.96661376953125
2022-07-06,659.8012084960938,2348.945068359375,704.1856689453125,1353.2440185546875,339.6502990722656,8324.1015625,94.21735382080078,1092.369873046875,2877.875,194.10968017578125
2022-07-07,671.6139526367188,2325.017333984375,719.7545776367188,1359.6400146484375,346.4253845214844,8301.291015625,96.20374298095703,1081.6131591796875,2901.79296875,196.32579040527344
2022-07-08,672.2394409179688,2347.48828125,733.0437622070312,1373.928466796875,347.6708068847656,8175.46533203125,94.64579772949219,1083.10791015625,2882.022705078125,195.5326690673828
2022-07-11,676.5940551757812,2341.612060546875,746.4300537109375,1336.46044921875,346.97332763671875,8206.0419921875,97.76171112060547,1097.8277587890625,2748.1796875,191.84689331054688
2022-07-12,669.6892700195312,2303.017333984375,737.1177978515625,1305.1165771484375,342.52972412109375,8121.20947265625,96.67113494873047,1096.26513671875,2722.496337890625,190.89044189453125
2022-07-13,653.3536376953125,2348.333984375,730.61865234375,1310.4234619140625,347.13275146484375,8140.9833984375,96.94377899169922,1076.8349609375,2681.941650390625,189.7473907470703
2022-07-14,650.081787109375,2348.38134765625,729.8426513671875,1296.27099609375,352.7122497558594,8264.0107421875,99.0470199584961,1085.7120361328125,2653.625,187.29800415039062
2022-07-15,655.3745727539062,2414.851806640625,728.6787109375,1297.6317138671875,356.2293395996094,8466.8544921875,98.57962799072266,1087.818359375,2649.952880859375,183.75218200683594
2022-07-18,648.3975830078125,2400.7490234375,748.8551025390625,1351.65625,367.7768249511719,8396.2021484375,101.18921661376953,1097.0804443359375,2710.9228515625,188.8376007080078
2022-07-19,648.6382446289062,2414.334716796875,757.2457885742188,1346.43994140625,365.6446533203125,8406.8583984375,99.63125610351562,1103.806396484375,2720.435791015625,189.25750732421875
2022-07-20,656.8180541992188,2448.6982421875,759.6222534179688,1374.6998291015625,364.20989990234375,8438.8828125,103.25350952148438,1133.653564453125,2800.564453125,192.2667999267578
2022-07-21,654.7490234375,2451.471435546875,762.4353637695312,1390.6666259765625,358.7898864746094,8485.1337890625,103.68195343017578,1126.089599609375,2811.625244140625,193.1532440185547
2022-07-22,670.0261840820312,2482.638671875,776.0641479492188,1366.53466796875,364.0804138183594,8517.8798828125,103.17560577392578,1133.6988525390625,2806.050537109375,191.68359375
2022-07-25,671.9988403320312,2466.65576171875,776.888671875,1364.0850830078125,357.7935485839844,8315.9521484375,101.11131286621094,1096.2425537109375,2802.289794921875,193.52645874023438
2022-07-26,670.6276245117188,2394.731689453125,772.426513671875,1316.501708984375,351.0284423828125,8223.595703125,99.86494445800781,1096.7408447265625,2757.2919921875,189.04757690429688
2022-07-27,675.751953125,2427.497314453125,776.5006103515625,1334.555419921875,349.533935546875,8351.1572265625,100.17655944824219,1095.698974609375,2821.846435546875,189.7240753173828
2022-07-28,681.7424926757812,2463.36474609375,790.1779174804688,1376.604736328125,364.359375,8411.875,101.46184539794922,1112.86474609375,2885.25,194.0863494873047
2022-07-29,690.0907592773438,2479.6298828125,794.0579833984375,1405.90771484375,360.7427062988281,8462.5146484375,104.49984741210938,1136.5748291015625,2921.885498046875,197.67881774902344
2022-08-01,695.8408203125,2437.88623046875,798.7140502929688,1407.1326904296875,369.7893981933594,8684.2158203125,107.81051635742188,1166.1956787109375,2919.141845703125,200.15155029296875
2022-08-02,688.1902465820312,2477.608642578125,793.2335205078125,1400.37353515625,375.53826904296875,8847.8515625,106.48625946044922,1170.63427734375,2912.94775390625,200.4314727783203
2022-08-03,689.8020629882812,2469.2412109375,800.0721435546875,1420.7860107421875,368.86285400390625,8698.72265625,105.66831970214844,1180.462646484375,2955.158203125,201.71449279785156
2022-08-04,688.9840698242188,2470.74560546875,795.6585083007812,1451.449951171875,365.76422119140625,8705.7607421875,106.1357192993164,1164.859619140625,2968.829833984375,203.18414306640625
2022-08-05,686.6505126953125,2487.151611328125,813.0704345703125,1466.645751953125,365.4354248046875,8583.9130859375,106.33045959472656,1147.69384765625,2977.767822265625,205.28363037109375
2022-08-08,703.4912719726562,2491.8056640625,816.7297973632812,1469.140625,367.5476379394531,8662.3134765625,106.33045959472656,1162.7081298828125,2986.085205078125,203.34744262695312
2022-08-10,705.5363159179688,2484.70703125,828.2446899414062,1453.7633056640625,364.3294982910156,8621.2919921875,104.22722625732422,1169.6605224609375,2968.210205078125,200.6880645751953
2022-08-11,714.870849609375,2457.347900390625,838.9301147460938,1469.6392822265625,369.56341552734375,8557.359375,103.44825744628906,1173.5555419921875,3028.60546875,204.56048583984375
2022-08-12,714.6063232421875,2439.71923828125,853.2750244140625,1446.18798828125,367.1109313964844,8446.044921875,108.43370819091797,1192.5328369140625,3010.066650390625,203.4640655517578
2022-08-16,722.7860717773438,2486.305419921875,858.0078735351562,1448.3199462890625,368.1377868652344,8741.68359375,109.0179214477539,1200.8211669921875,3002.2353515625,203.9306182861328
2022-08-17,726.5151977539062,2524.053955078125,861.9111938476562,1457.210693359375,366.8118591308594,8684.060546875,108.78424835205078,1207.0941162109375,3009.667724609375,206.70660400390625
2022-08-18,727.3812255859375,2521.609130859375,863.7164916992188,1436.072509765625,379.73211669921875,8687.314453125,108.10633087158203,1209.2833251953125,2992.10302734375,202.97418212890625
2022-08-19,718.4075317382812,2476.95068359375,849.3716430664062,1448.90966796875,374.2489929199219,8523.4755859375,107.34868621826172,1187.7220458984375,2996.0849609375,201.76116943359375
2022-08-22,707.4849853515625,2469.570068359375,831.6600952148438,1429.449951171875,365.28656005859375,8376.9169921875,105.19532012939453,1184.427734375,2968.475341796875,195.95257568359375
2022-08-23,705.2957763671875,2437.651123046875,843.0286865234375,1399.2850341796875,370.01202392578125,8466.7255859375,106.6707763671875,1202.694580078125,2906.576171875,194.3896026611328
2022-08-24,708.68798828125,2433.420166015625,852.2015991210938,1394.839599609375,372.374755859375,8450.705078125,108.4652328491211,1199.4908447265625,2880.692626953125,194.15634155273438
2022-08-25,704.838623046875,2420.210693359375,851.2745361328125,1377.28515625,372.60406494140625,8481.677734375,108.90387725830078,1195.9923095703125,2847.818359375,193.71310424804688
2022-08-26,704.9589233398438,2417.71923828125,849.810791015625,1380.369873046875,379.24365234375,8466.8232421875,108.98362731933594,1189.6077880859375,2851.35791015625,194.66954040527344
2022-08-29,692.5928955078125,2421.715087890625,835.1731567382812,1326.1182861328125,368.8655700683594,8577.1171875,108.3854751586914,1180.36083984375,2772.025634765625,188.6510009765625
2022-08-30,715.0633544921875,2500.737060546875,865.8633422851562,1354.42333984375,381.9154357910156,8817.947265625,110.5388412475586,1198.6729736328125,2841.57958984375,192.9432830810547
2022-09-01,708.3511352539062,2450.108154296875,853.2261962890625,1328.3409423828125,379.4031677246094,8761.8798828125,107.42842102050781,1163.434814453125,2771.273681640625,191.49697875976562
2022-09-02,714.7747192382812,2447.85205078125,851.3233642578125,1318.18017578125,382.59332275390625,8660.03125,105.87322998046875,1149.8482666015625,2770.122802734375,190.21397399902344
2022-09-05,719.369873046875,2445.03173828125,861.1305541992188,1325.710205078125,386.3916320800781,8689.5947265625,106.3916244506836,1167.7060546875,2772.778564453125,189.18753051757812
2022-09-06,716.6271362304688,2419.1767578125,862.3015747070312,1320.0853271484375,381.9653015136719,8630.078125,105.35482025146484,1179.997314453125,2767.158935546875,188.69764709472656
2022-09-07,713.2349853515625,2411.18505859375,855.0315551757812,1322.398681640625,380.4798278808594,8529.251953125,105.6738510131836,1173.1361083984375,2787.113525390625,190.09732055664062
2022-09-08,720.5968017578125,2422.984130859375,877.0855102539062,1338.955322265625,384.82647705078125,8534.8349609375,105.15545654296875,1174.7945556640625,2804.855712890625,192.59336853027344
2022-09-09,721.0780029296875,2433.84326171875,879.476318359375,1371.38818359375,384.0887145996094,8685.6630859375,106.87015533447266,1167.4788818359375,2847.3310546875,194.6228790283203
2022-09-12,718.6480712890625,2426.039794921875,885.2825927734375,1393.6602783203125,383.62017822265625,8667.84765625,106.87015533447266,1180.5426025390625,2869.719970703125,196.8856658935547
2022-09-13,728.0548706054688,2431.868896484375,888.0149536132812,1401.5985107421875,383.50054931640625,8666.73046875,106.79039001464844,1190.4029541015625,2857.685302734375,197.1889190673828
2022-09-14,735.537109375,2417.578369140625,895.919189453125,1338.501953125,389.7413635253906,8706.2470703125,106.23213195800781,1176.135009765625,2761.27392578125,194.226318359375
2022-09-15,731.7118530273438,2407.236328125,895.4312744140625,1299.8546142578125,385.6439208984375,8941.7373046875,105.75360107421875,1164.4798583984375,2747.071533203125,193.6431121826172
2022-09-16,718.26318359375,2376.915283203125,887.1366577148438,1249.2774658203125,384.8763122558594,8922.2236328125,104.67692565917969,1135.6256103515625,2662.429931640625,187.3912811279297
2022-09-19,723.002685546875,2424.95849609375,877.475830078125,1261.2979736328125,384.7168273925781,9010.767578125,104.11864471435547,1137.1024169921875,2680.216064453125,187.53126525878906
2022-09-20,731.7118530273438,2429.00146484375,894.601806640625,1259.7105712890625,386.7605285644531,9030.1865234375,106.23213195800781,1137.2841796875,2690.392822265625,188.9075927734375
2022-09-21,730.5811157226562,2466.65576171875,893.1380615234375,1249.4588623046875,382.5235900878906,8978.7783203125,104.39778137207031,1140.419677734375,2655.792724609375,186.9713897705078
2022-09-22,715.0152587890625,2531.6689453125,881.5744018554688,1241.021728515625,377.3893127441406,9128.2470703125,102.60330963134766,1129.673095703125,2661.279052734375,185.66505432128906
2022-09-23,695.8408203125,2521.609130859375,860.9353637695312,1238.7537841796875,371.3977966308594,9071.5478515625,102.56346130371094,1108.498291015625,2638.846923828125,183.9854736328125
2022-09-26,686.4579467773438,2501.395263671875,840.2474975585938,1252.1805419921875,364.6784362792969,8577.8447265625,98.45610809326172,1080.257568359375,2649.775390625,184.19540405273438
2022-09-27,680.2990112304688,2518.9765625,831.952880859375,1264.246337890625,358.7566223144531,8518.716796875,99.253662109375,1088.845703125,2670.172607421875,185.875
2022-09-28,668.606689453125,2540.459716796875,828.9766235351562,1265.289794921875,357.4207458496094,8472.7939453125,97.73833465576172,1059.855224609375,2686.27783203125,185.7117156982422
2022-09-29,665.1421508789062,2539.002197265625,823.511962890625,1268.8731689453125,351.9775085449219,8373.859375,101.00823974609375,1056.606201171875,2652.341796875,183.26229858398438
2022-09-30,683.9077758789062,2535.1474609375,841.1746215820312,1282.300048828125,362.7244567871094,8571.2431640625,101.12787628173828,1080.4393310546875,2658.75732421875,183.93882751464844
2022-10-03,679.9862060546875,2465.62158203125,827.8543701171875,1264.427978515625,355.68609619140625,8298.2744140625,105.59407806396484,1076.690673828125,2641.412841796875,184.05543518066406
2022-10-04,699.1367797851562,2508.3525390625,846.6881103515625,1296.77001953125,363.33258056640625,8437.5986328125,106.79039001464844,1096.547607421875,2735.390380859375,189.18753051757812
2022-10-06,691.4381103515625,2457.629638671875,864.0580444335938,1320.1307373046875,362.66461181640625,8449.7353515625,105.79346466064453,1100.5916748046875,2744.947998046875,191.3569793701172
2022-10-07,688.4547729492188,2444.185302734375,861.2280883789062,1316.5472412109375,363.96063232421875,8523.619140625,106.9100341796875,1105.2493896484375,2712.16162109375,190.40057373046875
2022-10-10,680.8523559570312,2449.732421875,860.4474487304688,1326.9349365234375,360.5411682128906,8604.49609375,106.2719955444336,1093.185302734375,2759.63720703125,191.89353942871094
2022-10-11,673.9476318359375,2398.069580078125,849.5668334960938,1291.689697265625,356.4836120605469,8431.4345703125,104.55730438232422,1071.41943359375,2716.2763671875,188.67431640625
2022-10-12,678.350341796875,2436.3349609375,847.3711547851562,1296.1348876953125,360.9299621582031,8433.8115234375,104.75668334960938,1079.30322265625,2743.8857421875,190.33059692382812
2022-10-13,670.555419921875,2412.877197265625,832.9774780273438,1288.1513671875,359.1953125,8397.83984375,103.56037139892578,1082.734130859375,2746.14208984375,176.87051391601562
2022-10-14,692.4004516601562,2421.715087890625,849.2252807617188,1337.45849609375,365.67535400390625,8366.529296875,101.76590728759766,1077.23583984375,2742.4697265625,176.03070068359375
2022-10-17,696.0332641601562,2435.582275390625,863.8140869140625,1351.7017822265625,370.4905700683594,8469.9287109375,101.9254150390625,1094.525634765625,2760.745849609375,175.00428771972656
