Date,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS
2020-01-31,580.7608032226562,508.40216064453125,666.74853515625,628.5996704101562,1769.9454345703125
2020-02-03,564.8955078125,498.633544921875,659.4017333984375,616.9552001953125,1789.9093017578125
2020-02-04,582.4182739257812,513.3831787109375,676.9737548828125,635.1676025390625,1794.3787841796875
2020-02-05,589.4509887695312,521.4108276367188,674.13818359375,645.0086669921875,1827.409912109375
2020-02-06,587.1541748046875,523.8287963867188,662.7958984375,649.1498413085938,1811.9163818359375
2020-02-07,588.2908325195312,518.8477172851562,667.9085083007812,638.3961791992188,1818.89697265625
2020-02-10,587.3909301757812,516.4298095703125,664.3853759765625,639.2644653320312,1840.5201416015625
2020-02-11,587.5330200195312,522.0394897460938,664.6863403320312,646.9011840820312,1833.2413330078125
2020-02-12,591.5111694335938,531.276123046875,671.1307983398438,654.7161254882812,1848.0115966796875
2020-02-13,587.9119262695312,523.2484741210938,680.7544555664062,656.4305419921875,1866.060302734375
2020-02-14,577.46923828125,527.8909912109375,675.7706298828125,662.4197387695312,1859.462890625
2020-02-17,576.4274291992188,523.8287963867188,678.3486328125,658.2561645507812,1875.6800537109375
2020-02-18,574.5804443359375,523.4419555664062,685.3946533203125,653.4248046875,1886.32177734375
2020-02-19,581.1869506835938,526.9237670898438,687.8004760742188,669.6334228515625,1869.8062744140625
2020-02-20,576.4037475585938,529.0516357421875,684.8361206054688,661.6849975585938,1836.1358642578125
2020-02-24,573.0175170898438,512.4642944335938,683.847900390625,643.4278564453125,1800.848876953125
2020-02-25,568.447509765625,513.5282592773438,686.0390014648438,630.71484375,1835.5826416015625
2020-02-26,567.9501953125,506.51617431640625,672.591552734375,619.8496704101562,1807.8721923828125
2020-02-27,568.044921875,498.4400634765625,668.381103515625,617.2892456054688,1792.46337890625
2020-02-28,557.7206420898438,480.93402099609375,628.7259521484375,591.64013671875,1702.7762451171875
2020-03-02,558.6441650390625,489.4936218261719,636.7599487304688,586.0740356445312,1703.7554931640625
2020-03-03,559.68603515625,497.8597717285156,641.8727416992188,597.9634399414062,1733.4661865234375
2020-03-04,544.0814208984375,491.6697998046875,651.9689331054688,596.5606079101562,1773.478759765625
2020-03-05,545.2653198242188,487.9461364746094,648.403076171875,583.8475341796875,1809.1064453125
2020-03-06,537.4747924804688,470.3916931152344,634.9556884765625,565.9689331054688,1801.78515625
2020-03-09,524.4038696289062,442.7301025390625,605.3108520507812,496.1245422363281,1679.1092529296875
2020-03-11,527.482177734375,450.370849609375,589.4573974609375,513.6691284179688,1663.2320556640625
2020-03-12,483.67523193359375,411.6833801269531,542.3694458007812,473.3477478027344,1506.7164306640625
2020-03-13,506.6443176269531,432.52630615234375,551.950439453125,492.1837158203125,1537.7471923828125
2020-03-16,473.3510437011719,389.67987060546875,501.0816955566406,452.28533935546875,1444.1865234375
2020-03-17,461.7955017089844,355.19964599609375,476.85040283203125,448.85662841796875,1411.4957275390625
2020-03-18,415.2891540527344,343.3999328613281,459.1065673828125,431.2674865722656,1408.4310302734375
2020-03-19,424.1215515136719,327.4413146972656,468.77325439453125,408.646484375,1403.2430419921875
2020-03-20,418.10699462890625,334.3567199707031,502.8432922363281,453.28729248046875,1541.3929443359375
2020-03-23,365.3966979980469,274.6812744140625,452.36126708984375,393.6623840332031,1431.841796875
2020-03-24,363.57342529296875,286.7710876464844,506.79583740234375,420.0906066894531,1460.5264892578125
2020-03-25,405.7463684082031,306.501708984375,520.8878784179688,481.919677734375,1500.9598388671875
2020-03-26,426.7499694824219,319.4137268066406,552.5089111328125,474.772705078125,1535.81884765625
2020-03-27,428.3365173339844,328.6986999511719,560.8438110351562,474.50555419921875,1564.5894775390625
2020-03-30,393.8593444824219,303.1166076660156,538.5028686523438,458.8534851074219,1525.1427001953125
2020-03-31,408.18536376953125,313.126953125,551.219970703125,495.9464416503906,1565.9615478515625
2020-04-01,392.9121398925781,300.94036865234375,517.96630859375,481.1181640625,1465.3289794921875
2020-04-03,385.429443359375,277.2442932128906,503.27288818359375,479.78228759765625,1418.5499267578125
2020-04-07,424.38201904296875,315.39984130859375,549.07177734375,537.0693969726562,1522.3126220703125
2020-04-08,420.9722595214844,308.4844665527344,542.7131958007812,530.8574829101562,1462.4990234375
